epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,161.448,0.87104,1.2398,0.90646,0.91367,0.91625,0.92865,0.75494,0.81973,0.87252,0.87266,0.000224917,0.000224917,0.000224917
44,165.247,0.86182,1.17101,0.87667,0.92715,0.91426,0.93508,0.75219,0.83127,0.84265,0.87317,0.000221106,0.000221106,0.000221106
45,168.944,0.88328,1.10804,0.89587,0.93662,0.91569,0.93685,0.7607,0.81621,0.81749,0.87162,0.000217294,0.000217294,0.000217294
46,172.697,0.80667,0.98462,0.88955,0.94328,0.92011,0.94054,0.77009,0.80587,0.79787,0.87144,0.000213482,0.000213482,0.000213482
47,176.642,0.87891,1.13184,0.88773,0.94639,0.92553,0.94481,0.77035,0.80882,0.78102,0.87202,0.000209671,0.000209671,0.000209671
48,180.771,0.84363,1.04273,0.87755,0.94879,0.92686,0.94681,0.76594,0.83187,0.75773,0.87267,0.00020586,0.00020586,0.00020586
49,184.328,0.84366,1.02448,0.88588,0.93954,0.92982,0.94572,0.76521,0.82289,0.73804,0.87099,0.000202048,0.000202048,0.000202048
50,188.288,0.84181,0.96563,0.86737,0.92781,0.93361,0.94633,0.76769,0.81315,0.7241,0.86986,0.000198236,0.000198236,0.000198236
51,192.488,0.83944,1.02463,0.88808,0.91639,0.93276,0.94783,0.77343,0.79634,0.70869,0.86804,0.000194425,0.000194425,0.000194425
52,196.349,0.83636,1.00416,0.88944,0.90659,0.94104,0.95079,0.77741,0.7838,0.68845,0.86544,0.000190613,0.000190613,0.000190613
53,200.123,0.8088,0.90167,0.85383,0.90928,0.94014,0.95166,0.78004,0.7799,0.67718,0.86374,0.000186802,0.000186802,0.000186802
54,204.158,0.81988,0.93153,0.86957,0.91428,0.93858,0.95354,0.783,0.78071,0.66819,0.86342,0.00018299,0.00018299,0.00018299
55,208.401,0.86535,1.0041,0.88469,0.91548,0.94174,0.95256,0.78328,0.78321,0.66256,0.86418,0.000179179,0.000179179,0.000179179
56,212.835,0.81072,0.90265,0.90235,0.91571,0.94344,0.95569,0.77733,0.78683,0.65955,0.86511,0.000175367,0.000175367,0.000175367
57,216.841,0.80702,0.89369,0.88858,0.91244,0.94397,0.95549,0.77669,0.79233,0.66442,0.8659,0.000171556,0.000171556,0.000171556
58,220.874,0.78921,0.86764,0.88292,0.90663,0.9427,0.95545,0.77668,0.78957,0.66896,0.86511,0.000167745,0.000167745,0.000167745
59,224.436,0.79908,0.88047,0.88472,0.89219,0.94948,0.95659,0.78336,0.78384,0.66677,0.8638,0.000163933,0.000163933,0.000163933
60,228.163,0.79851,0.87558,0.86937,0.91792,0.93765,0.95701,0.7839,0.77564,0.64923,0.86422,0.000160122,0.000160122,0.000160122
61,231.812,0.80541,0.8807,0.87331,0.92605,0.94559,0.95749,0.77552,0.78816,0.6431,0.86547,0.00015631,0.00015631,0.00015631
62,235.467,0.82793,0.91763,0.89164,0.91279,0.95033,0.95818,0.77685,0.79276,0.63643,0.86524,0.000152498,0.000152498,0.000152498
63,239.147,0.80216,0.82904,0.86811,0.93655,0.93938,0.95729,0.77676,0.78428,0.63349,0.86419,0.000148687,0.000148687,0.000148687
64,243.033,0.79645,0.80805,0.87466,0.94227,0.94141,0.95668,0.77074,0.78962,0.62957,0.86468,0.000144875,0.000144875,0.000144875
65,247.327,0.79639,0.82142,0.86356,0.91035,0.95897,0.95627,0.77321,0.78658,0.621,0.86487,0.000141064,0.000141064,0.000141064
66,250.768,0.76445,0.77775,0.87263,0.91881,0.95609,0.95776,0.77823,0.77943,0.61228,0.86414,0.000137252,0.000137252,0.000137252
67,254.41,0.79383,0.81851,0.87435,0.92722,0.95095,0.95808,0.78414,0.77251,0.60175,0.86219,0.000133441,0.000133441,0.000133441
68,258.153,0.78324,0.77212,0.88045,0.94635,0.93796,0.95841,0.78572,0.76028,0.59672,0.85945,0.000129629,0.000129629,0.000129629
69,261.92,0.77057,0.77631,0.87466,0.94479,0.93894,0.95916,0.78717,0.76253,0.59324,0.8591,0.000125818,0.000125818,0.000125818
70,265.799,0.79808,0.79045,0.87154,0.9128,0.96367,0.95831,0.7843,0.76259,0.59141,0.85896,0.000122007,0.000122007,0.000122007
71,269.526,0.76863,0.75797,0.86769,0.94562,0.93692,0.95911,0.78501,0.75981,0.58782,0.85822,0.000118195,0.000118195,0.000118195
72,273.487,0.78084,0.81257,0.88174,0.95152,0.94024,0.96169,0.79279,0.75354,0.5789,0.85696,0.000114384,0.000114384,0.000114384
73,277.304,0.79385,0.80595,0.87312,0.95268,0.94313,0.96246,0.79409,0.75053,0.57435,0.85594,0.000110572,0.000110572,0.000110572
74,281.078,0.77906,0.78071,0.87207,0.95256,0.94442,0.96295,0.79308,0.75389,0.57302,0.85654,0.000106761,0.000106761,0.000106761
75,284.868,0.79005,0.80708,0.85195,0.95437,0.94601,0.96322,0.7951,0.75829,0.57217,0.85668,0.000102949,0.000102949,0.000102949
76,288.66,0.79397,0.76585,0.86901,0.95636,0.94906,0.96482,0.79613,0.76206,0.576,0.85736,9.91375e-05,9.91375e-05,9.91375e-05
77,292.389,0.79435,0.81033,0.87647,0.9611,0.94708,0.96426,0.79593,0.75851,0.57661,0.85757,9.5326e-05,9.5326e-05,9.5326e-05
78,295.915,0.75418,0.7115,0.87166,0.9722,0.94599,0.96635,0.79824,0.75895,0.57536,0.85815,9.15145e-05,9.15145e-05,9.15145e-05
79,299.75,0.80343,0.79518,0.8713,0.96441,0.94586,0.96576,0.79519,0.75996,0.57381,0.85892,8.7703e-05,8.7703e-05,8.7703e-05
80,303.512,0.7519,0.73365,0.87959,0.95277,0.95195,0.96546,0.79671,0.75911,0.56857,0.85777,8.38915e-05,8.38915e-05,8.38915e-05
81,307.347,0.78799,0.81016,0.86152,0.95487,0.95104,0.96672,0.79488,0.76208,0.56742,0.85757,8.008e-05,8.008e-05,8.008e-05
82,310.651,0.80207,0.78138,0.87161,0.94955,0.95583,0.96755,0.79078,0.77202,0.56705,0.85836,7.62685e-05,7.62685e-05,7.62685e-05
83,314.201,0.76947,0.74329,0.87178,0.94803,0.95587,0.96797,0.78971,0.77997,0.56631,0.85927,7.2457e-05,7.2457e-05,7.2457e-05
84,318.032,0.79161,0.78925,0.87311,0.95073,0.95872,0.96942,0.79047,0.77764,0.56245,0.85852,6.86455e-05,6.86455e-05,6.86455e-05
85,321.793,0.76701,0.74225,0.85842,0.95216,0.96017,0.9699,0.79433,0.7709,0.55821,0.85716,6.4834e-05,6.4834e-05,6.4834e-05
86,325.728,0.75467,0.70361,0.8669,0.95014,0.96411,0.9707,0.79841,0.76131,0.55711,0.85603,6.10225e-05,6.10225e-05,6.10225e-05
87,329.523,0.74315,0.72146,0.86355,0.95378,0.96005,0.97102,0.80145,0.75656,0.55195,0.85542,5.7211e-05,5.7211e-05,5.7211e-05
88,333.544,0.76942,0.72183,0.87332,0.95564,0.96166,0.97217,0.80557,0.74897,0.5474,0.85391,5.33995e-05,5.33995e-05,5.33995e-05
89,337.393,0.76303,0.71791,0.86897,0.949,0.96511,0.97243,0.80238,0.74886,0.54883,0.85326,4.9588e-05,4.9588e-05,4.9588e-05
90,341.068,0.79856,0.77032,0.86605,0.94762,0.96894,0.9732,0.80349,0.75166,0.54745,0.85358,4.57765e-05,4.57765e-05,4.57765e-05
91,344.895,0.77475,0.73655,0.86734,0.94919,0.97129,0.97317,0.79905,0.75656,0.54674,0.85375,4.1965e-05,4.1965e-05,4.1965e-05
92,348.369,0.7741,0.71257,0.87628,0.95593,0.96377,0.97214,0.80079,0.75804,0.54754,0.85465,3.81535e-05,3.81535e-05,3.81535e-05
93,351.85,0.75175,0.68861,0.87425,0.95771,0.96217,0.9714,0.79877,0.7562,0.55,0.85485,3.4342e-05,3.4342e-05,3.4342e-05
94,355.278,0.74674,0.7025,0.84734,0.95657,0.95868,0.97075,0.80129,0.75452,0.55569,0.85489,3.05305e-05,3.05305e-05,3.05305e-05
95,358.73,0.786,0.85142,0.87444,0.95371,0.95489,0.97056,0.80075,0.75569,0.56385,0.85532,2.6719e-05,2.6719e-05,2.6719e-05
96,362.177,0.74025,0.65097,0.87653,0.94725,0.9648,0.97055,0.80215,0.7584,0.57338,0.85556,2.29075e-05,2.29075e-05,2.29075e-05
97,365.573,0.76347,0.69992,0.87619,0.94502,0.9651,0.97024,0.80069,0.7607,0.57356,0.8559,1.9096e-05,1.9096e-05,1.9096e-05
98,368.993,0.73747,0.78066,0.85289,0.94331,0.96372,0.96995,0.79914,0.76248,0.57784,0.85607,1.52845e-05,1.52845e-05,1.52845e-05
99,372.012,0.75874,0.69031,0.88011,0.94303,0.96395,0.96964,0.79752,0.76341,0.57747,0.85592,1.1473e-05,1.1473e-05,1.1473e-05
100,375.51,0.75686,0.67468,0.8584,0.94139,0.96375,0.97009,0.79751,0.76423,0.572,0.85622,7.6615e-06,7.6615e-06,7.6615e-06
