epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,161.724,0.68264,1.12215,0.88543,0.81076,0.84273,0.85117,0.73097,0.5907,1.13212,0.87278,0.00033032,0.00033032,0.00033032
43,165.507,0.60736,1.05719,0.87324,0.8391,0.8668,0.85875,0.73678,0.58117,1.0176,0.87075,0.000324815,0.000324815,0.000324815
44,169.175,0.65385,1.11393,0.90372,0.86317,0.85527,0.86653,0.74929,0.56952,0.92319,0.86632,0.000319311,0.000319311,0.000319311
45,172.991,0.60372,1.02291,0.87917,0.86317,0.85527,0.86653,0.74929,0.56952,0.92319,0.86632,0.000313806,0.000313806,0.000313806
46,176.286,0.62385,1.07178,0.86085,0.84161,0.84413,0.87172,0.74365,0.58408,0.86865,0.87151,0.000308302,0.000308302,0.000308302
47,179.196,0.59349,0.98092,0.87083,0.75033,0.89312,0.87494,0.74726,0.57552,0.83877,0.86794,0.000302798,0.000302798,0.000302798
48,182.872,0.64318,1.04924,0.88358,0.78302,0.93944,0.87645,0.76604,0.54021,0.83099,0.85336,0.000297293,0.000297293,0.000297293
49,186.86,0.58083,0.92227,0.87296,0.78302,0.93944,0.87645,0.76604,0.54021,0.83099,0.85336,0.000291789,0.000291789,0.000291789
50,190.412,0.61179,0.97245,0.87745,0.78549,0.94441,0.87333,0.76856,0.53125,0.82286,0.85155,0.000286284,0.000286284,0.000286284
51,194.095,0.632,1.01457,0.86471,0.78632,0.92468,0.88071,0.77596,0.5281,0.80079,0.8529,0.00028078,0.00028078,0.00028078
52,197.662,0.58421,0.89448,0.86897,0.77574,0.94688,0.88338,0.77562,0.52848,0.75745,0.85297,0.000275276,0.000275276,0.000275276
53,201.115,0.58021,0.86613,0.87087,0.77574,0.94688,0.88338,0.77562,0.52848,0.75745,0.85297,0.000269771,0.000269771,0.000269771
54,204.6,0.59308,0.904,0.88105,0.7727,0.95965,0.88561,0.77826,0.53181,0.7312,0.8523,0.000264267,0.000264267,0.000264267
55,208.087,0.56812,0.90528,0.85987,0.77309,0.96691,0.893,0.78464,0.5253,0.71263,0.84903,0.000258762,0.000258762,0.000258762
56,211.498,0.57042,0.89662,0.87082,0.77174,0.96621,0.89513,0.78982,0.50955,0.71192,0.84356,0.000253258,0.000253258,0.000253258
57,214.975,0.54045,0.89724,0.8539,0.77174,0.96621,0.89513,0.78982,0.50955,0.71192,0.84356,0.000247754,0.000247754,0.000247754
58,218.462,0.55779,0.8899,0.86997,0.77698,0.91233,0.88817,0.78633,0.50238,0.70657,0.83976,0.000242249,0.000242249,0.000242249
59,222.184,0.56269,0.8234,0.85728,0.78737,0.91443,0.8885,0.78811,0.49997,0.6902,0.8382,0.000236745,0.000236745,0.000236745
60,225.939,0.5772,0.87223,0.85274,0.78942,0.92421,0.89149,0.79265,0.49183,0.66208,0.83656,0.00023124,0.00023124,0.00023124
61,229.822,0.55845,0.88896,0.8433,0.78942,0.92421,0.89149,0.79265,0.49183,0.66208,0.83656,0.000225736,0.000225736,0.000225736
62,233.477,0.55768,0.84552,0.85675,0.79353,0.90682,0.89169,0.796,0.49114,0.64607,0.83618,0.000220232,0.000220232,0.000220232
63,236.953,0.60338,0.85738,0.88479,0.79227,0.90485,0.89245,0.79377,0.49535,0.64011,0.83601,0.000214727,0.000214727,0.000214727
64,240.036,0.54522,0.82574,0.87344,0.79932,0.90182,0.8947,0.79779,0.48833,0.63568,0.83461,0.000209223,0.000209223,0.000209223
65,243.421,0.57481,0.89495,0.86314,0.79932,0.90182,0.8947,0.79779,0.48833,0.63568,0.83461,0.000203718,0.000203718,0.000203718
66,246.92,0.54396,0.80151,0.85581,0.80297,0.89678,0.89696,0.79802,0.48957,0.6354,0.83576,0.000198214,0.000198214,0.000198214
67,250.454,0.55564,0.782,0.86238,0.80445,0.89611,0.88908,0.79095,0.50073,0.63155,0.83773,0.00019271,0.00019271,0.00019271
68,253.962,0.53582,0.80248,0.86673,0.78718,0.90022,0.88647,0.78799,0.49182,0.62026,0.83535,0.000187205,0.000187205,0.000187205
69,257.764,0.5266,0.80263,0.87093,0.78718,0.90022,0.88647,0.78799,0.49182,0.62026,0.83535,0.000181701,0.000181701,0.000181701
70,261.937,0.52329,0.81734,0.85452,0.78389,0.90675,0.88886,0.79326,0.48016,0.60926,0.83261,0.000176196,0.000176196,0.000176196
71,265.979,0.51501,0.79602,0.87308,0.77331,0.90568,0.88869,0.79159,0.47531,0.60282,0.83228,0.000170692,0.000170692,0.000170692
72,270.066,0.50944,0.75437,0.85715,0.76875,0.92695,0.88769,0.78904,0.47749,0.60252,0.83265,0.000165188,0.000165188,0.000165188
73,274.201,0.52435,0.73467,0.8556,0.76875,0.92695,0.88769,0.78904,0.47749,0.60252,0.83265,0.000159683,0.000159683,0.000159683
74,278,0.48681,0.726,0.84066,0.77023,0.92424,0.8798,0.78363,0.47535,0.60332,0.83207,0.000154179,0.000154179,0.000154179
75,281.575,0.50878,0.81401,0.85931,0.77271,0.92822,0.87661,0.7758,0.47512,0.60044,0.83216,0.000148674,0.000148674,0.000148674
76,285.105,0.54972,0.82987,0.8464,0.77633,0.94097,0.87911,0.78477,0.47258,0.5939,0.83094,0.00014317,0.00014317,0.00014317
77,288.778,0.50561,0.7667,0.84579,0.77633,0.94097,0.87911,0.78477,0.47258,0.5939,0.83094,0.000137666,0.000137666,0.000137666
78,292.945,0.49955,0.76275,0.84209,0.7765,0.94586,0.87945,0.78827,0.47037,0.59202,0.82986,0.000132161,0.000132161,0.000132161
79,296.513,0.50306,0.72259,0.84838,0.78118,0.94669,0.88252,0.78726,0.46855,0.58805,0.82888,0.000126657,0.000126657,0.000126657
80,300.071,0.49558,0.74548,0.83918,0.78296,0.94664,0.88745,0.79193,0.46824,0.58372,0.82886,0.000121152,0.000121152,0.000121152
81,303.574,0.49044,0.74164,0.84431,0.78296,0.94664,0.88745,0.79193,0.46824,0.58372,0.82886,0.000115648,0.000115648,0.000115648
82,306.957,0.53044,0.71738,0.83968,0.78766,0.95027,0.88756,0.79426,0.46622,0.57935,0.82894,0.000110144,0.000110144,0.000110144
83,310.586,0.49823,0.71042,0.85379,0.79271,0.95287,0.88684,0.78945,0.4655,0.57722,0.82859,0.000104639,0.000104639,0.000104639
84,314.195,0.50288,0.72345,0.83917,0.78907,0.9495,0.88556,0.78609,0.46823,0.5783,0.82877,9.91348e-05,9.91348e-05,9.91348e-05
85,317.711,0.50916,0.72138,0.86018,0.78907,0.9495,0.88556,0.78609,0.46823,0.5783,0.82877,9.36304e-05,9.36304e-05,9.36304e-05
86,321.009,0.49057,0.71368,0.85249,0.78688,0.94052,0.88559,0.79105,0.4692,0.57683,0.82843,8.8126e-05,8.8126e-05,8.8126e-05
87,324.417,0.53748,0.71789,0.85794,0.78538,0.9404,0.88466,0.78462,0.46968,0.57506,0.8289,8.26216e-05,8.26216e-05,8.26216e-05
88,327.736,0.48427,0.68801,0.86214,0.78914,0.9456,0.88562,0.78233,0.47214,0.57563,0.82995,7.71172e-05,7.71172e-05,7.71172e-05
89,331.058,0.52352,0.73829,0.85585,0.78914,0.9456,0.88562,0.78233,0.47214,0.57563,0.82995,7.16128e-05,7.16128e-05,7.16128e-05
90,334.533,0.52303,0.73663,0.84056,0.78917,0.94686,0.88655,0.78735,0.47013,0.57387,0.82945,6.61084e-05,6.61084e-05,6.61084e-05
91,337.888,0.47806,0.73959,0.84263,0.79343,0.96719,0.88574,0.78454,0.46928,0.57124,0.82966,6.0604e-05,6.0604e-05,6.0604e-05
92,340.845,0.46002,0.75177,0.83653,0.78932,0.96714,0.88583,0.78763,0.47128,0.56794,0.83022,5.50996e-05,5.50996e-05,5.50996e-05
93,343.913,0.49174,0.72273,0.84034,0.78932,0.96714,0.88583,0.78763,0.47128,0.56794,0.83022,4.95952e-05,4.95952e-05,4.95952e-05
94,346.961,0.46765,0.71928,0.838,0.78186,0.94115,0.88717,0.79059,0.46771,0.56849,0.82969,4.40908e-05,4.40908e-05,4.40908e-05
95,350.009,0.44277,0.68311,0.82156,0.79799,0.92465,0.88754,0.79082,0.4639,0.56864,0.8295,3.85864e-05,3.85864e-05,3.85864e-05
96,352.857,0.47746,0.73495,0.8348,0.79671,0.92381,0.89486,0.80117,0.46006,0.56883,0.82888,3.3082e-05,3.3082e-05,3.3082e-05
97,356.273,0.49693,0.736,0.83044,0.79671,0.92381,0.89486,0.80117,0.46006,0.56883,0.82888,2.75776e-05,2.75776e-05,2.75776e-05
98,359.276,0.45436,0.64726,0.84932,0.79138,0.92356,0.89472,0.79893,0.45932,0.57083,0.82896,2.20732e-05,2.20732e-05,2.20732e-05
99,362.049,0.47344,0.6831,0.83456,0.78514,0.92364,0.89729,0.80252,0.45882,0.57213,0.82891,1.65688e-05,1.65688e-05,1.65688e-05
100,364.758,0.44464,0.65309,0.82748,0.7827,0.92356,0.89561,0.8016,0.45698,0.57314,0.82907,1.10644e-05,1.10644e-05,1.10644e-05
